GEOID20,District
132419702021021,9
132419702021022,9
132419702021023,9
132419702021024,9
132419702021025,9
132419702021026,9
132419702021027,9
132419702021028,9
132419702021029,9
132419702021030,9
132419702021031,9
132419702021032,9
132419702021033,9
132419702021034,9
132419702021035,9
132419702021036,9
132419702021037,9
132419702021038,9
132419702021039,9
132419702021040,9
132419702021041,9
132419702021042,9
132419702021043,9
132419702022000,9
132419702022001,9
132419702022002,9
132419702022003,9
132419702022004,9
132419702022005,9
132419702022006,9
132419702022007,9
132419702022008,9
132419702022009,9
132419702022010,9
132419702022011,9
132419702022012,9
132419702022013,9
132419702022014,9
132419702022015,9
132419702022016,9
132419702022017,9
132419702022018,9
132419702022019,9
132419702022020,9
132419702022021,9
132419702022022,9
132419702022023,9
132419702023000,9
132419702023001,9
132419702023002,9
132419702023003,9
132419702023004,9
132419702023005,9
132419702023006,9
132419702023007,9
132419702023008,9
132419702023009,9
132419702023010,9
132419702023011,9
132419702023012,9
132419702023013,9
132419702023014,9
132419702023015,9
132419702023016,9
132419702023017,9
132419702023018,9
132419702023019,9
132419702023020,9
132419702023021,9
132419702023022,9
132419702023023,9
132419702023024,9
132419702023025,9
132419702023026,9
132419702023027,9
132419702023028,9
132419702023029,9
132419702023030,9
132419702023031,9
132419702023032,9
132419702023033,9
132419702023034,9
132419702023035,9
132419702023036,9
132419702023037,9
132419702023038,9
132419702023039,9
132419702023040,9
132419702023041,9
132419702023042,9
132419702023043,9
132419702023044,9
132419702023045,9
132419702023046,9
132419702023047,9
132419702023048,9
132419702023049,9
132419702023050,9
132419702023051,9
132419702023052,9
132419702023053,9
132419702023054,9
132419702023055,9
132419702023056,9
132419702023057,9
132419702023058,9
132419702023059,9
132419702023060,9
132419702023061,9
132419702023062,9
132419702023063,9
132419702023064,9
132419702023065,9
132419702023066,9
132419702023067,9
132419702023068,9
132419702023069,9
132419702023070,9
132419702023071,9
132419702023072,9
132419702023073,9
132419702023074,9
132419702023075,9
132419702023076,9
132419702023077,9
132419702023078,9
132419702023079,9
132419702023080,9
132419702023081,9
132419702023082,9
132419702023083,9
132419702023084,9
132419702023085,9
132419702023086,9
132419702023087,9
132419702023088,9
132419702023089,9
132419702023090,9
132419702023091,9
132419702023092,9
132419702023093,9
132419702023094,9
132419702023095,9
132419702023096,9
132419702023097,9
132419703021000,9
132419703021001,9
132419703021002,9
132419703021003,9
132419703021004,9
132419703021005,9
132419703021006,9
132419703021007,9
